   34785000.000000000        69570000.000000000       -10160888237530114.       -1.7672324867124249E+023
         232   8070120000.0000000        8035335000.0000000        1.7874021882028570E+017  -1.1233971561976003E+026
         233   8104905000.0000000        8070120000.0000000        1.6978495316996925E+017  -1.0643374602374265E+026
         234   8139690000.0000000        8104905000.0000000        1.6119307654595226E+017  -1.0082664485609169E+026
         235   8174475000.0000000        8139690000.0000000        1.5306939872287862E+017  -9.5502125821516356E+025
         236   8209260000.0000000        8174475000.0000000        1.4526095810023894E+017  -9.0449223393999543E+025
         237   8244045000.0000000        8209260000.0000000        1.3787799316312296E+017  -8.5653137401820304E+025
         238   8278830000.0000000        8244045000.0000000        1.3080670413262405E+017  -8.1103026198566975E+025
         239   8313615000.0000000        8278830000.0000000        1.2410798929102026E+017  -7.6785929791078834E+025
         240   8348400000.0000000        8313615000.0000000        1.1774237659993181E+017  -7.2690261221050203E+025
         241   8383185000.0000000        8348400000.0000000        1.1161834338853248E+017  -6.8807617146280101E+025
         242   8417970000.0000000        8383185000.0000000        1.0585024162620690E+017  -6.5125616491312492E+025
         243   8452755000.0000000        8417970000.0000000        1.0032026137847520E+017  -6.1635976199262230E+025
         244   8487540000.0000000        8452755000.0000000        95096199251548368.       -5.8328054908297120E+025
         245   8522325000.0000000        8487540000.0000000        90092850648404944.       -5.5194175098492354E+025
         246   8557110000.0000000        8522325000.0000000        85367892373288864.       -5.2224652962287501E+025
         247   8591895000.0000000        8557110000.0000000        80888286118703056.       -4.9410953929648418E+025
         248   8626680000.0000000        8591895000.0000000        76586504530850656.       -4.6746892369542779E+025
         249   8661465000.0000000        8626680000.0000000        72528785542568192.       -4.4223978564444542E+025
         250   8696250000.0000000        8661465000.0000000        68657014178555392.       -4.1835744326243489E+025
         251   8731035000.0000000        8696250000.0000000        65004706763710344.       -3.9574555601467827E+025
         252   8765820000.0000000        8731035000.0000000        61511415150982704.       -3.7434881025440892E+025
         253   8800605000.0000000        8765820000.0000000        58218001649861624.       -3.5409767838050455E+025
         254   8835390000.0000000        8800605000.0000000        55069894399882448.       -3.3494161561350544E+025
         255   8870175000.0000000        8835390000.0000000        52102945199055264.       -3.1681760612601405E+025
         256   8904960000.0000000        8870175000.0000000        49268436011040464.       -2.9967958065957364E+025
         257   8939745000.0000000        8904960000.0000000        46604691394507208.       -2.8346813875799430E+025
         258   8974530000.0000000        8939745000.0000000        44054295919523320.       -2.6814385192238811E+025
         259   9009315000.0000000        8974530000.0000000        41658257872964264.       -2.5365302692127749E+025
         260   9044100000.0000000        9009315000.0000000        39365442221392840.       -2.3995975784456598E+025
         261   9078885000.0000000        9044100000.0000000        37211510767182488.       -2.2701573382420155E+025
         262   9113670000.0000000        9078885000.0000000        35157283487269288.       -2.1478627276315493E+025
         263   9148455000.0000000        9113670000.0000000        33222877713650008.       -2.0322969475046175E+025
         264   9183240000.0000000        9148455000.0000000        31378975476687932.       -1.9231451813089586E+025
         265   9218025000.0000000        9183240000.0000000        29637044486120840.       -1.8200527220639873E+025
         266   9252810000.0000000        9218025000.0000000        27993350465398228.       -1.7226778524700996E+025
         267   9287595000.0000000        9252810000.0000000        26431341225251104.       -1.6307364320180636E+025
         268   9322380000.0000000        9287595000.0000000        24957388837666872.       -1.5439221549462394E+025
         269   9357165000.0000000        9322380000.0000000        23557675030277556.       -1.4619767823534189E+025
         270   9391950000.0000000        9357165000.0000000        22233396151684496.       -1.3846379138397845E+025
         271   9426735000.0000000        9391950000.0000000        20987557600082080.       -1.3116326947278989E+025
         272   9461520000.0000000        9426735000.0000000        19801683850179200.       -1.2427525374550506E+025
         273   9496305000.0000000        9461520000.0000000        18680332323420680.       -1.1777730014680317E+025
         274   9531090000.0000000        9496305000.0000000        17625835453249884.       -1.1164615328439020E+025
         275   9565875000.0000000        9531090000.0000000        16623029654518230.       -1.0586383241906603E+025
         276   9600660000.0000000        9565875000.0000000        15677528675800968.       -1.0041040406918868E+025
         277   9635445000.0000000        9600660000.0000000        14786258869108508.       -9.5267003921569280E+024
         278   9670230000.0000000        9635445000.0000000        13941472986840200.       -9.0417462543096915E+024
         279   9705015000.0000000        9670230000.0000000        13143314264721722.       -8.5845560676113464E+024
         280   9739800000.0000000        9705015000.0000000        12386906967496610.       -8.1536775087469765E+024
         281   9774585000.0000019        9739800000.0000000        11674695783752310.       -7.7475732159091305E+024
         282   9809370000.0000000        9774585000.0000019        11005541998970452.       -7.3647454374749639E+024
