   34785000.000000000        69570000.000000000                            NaN                       NaN
         189   6574365000.0000000        6539580000.0000000                            NaN                       NaN
         190   6609150000.0000000        6574365000.0000000                            NaN                       NaN
         191   6643935000.0000000        6609150000.0000000                            NaN                       NaN
         192   6678720000.0000000        6643935000.0000000                            NaN                       NaN
         193   6713505000.0000000        6678720000.0000000                            NaN                       NaN
         194   6748290000.0000000        6713505000.0000000                            NaN                       NaN
         195   6783075000.0000000        6748290000.0000000                            NaN                       NaN
         196   6817860000.0000000        6783075000.0000000                            NaN                       NaN
         197   6852645000.0000000        6817860000.0000000                            NaN                       NaN
         198   6887430000.0000000        6852645000.0000000                            NaN                       NaN
         199   6922215000.0000000        6887430000.0000000                            NaN                       NaN
         200   6957000000.0000000        6922215000.0000000                            NaN                       NaN
         201   6991785000.0000000        6957000000.0000000                            NaN                       NaN
         202   7026570000.0000000        6991785000.0000000                            NaN                       NaN
         203   7061355000.0000010        7026570000.0000000                            NaN                       NaN
         204   7096140000.0000000        7061355000.0000010                            NaN                       NaN
         205   7130925000.0000000        7096140000.0000000                            NaN                       NaN
         206   7165710000.0000000        7130925000.0000000                            NaN                       NaN
         207   7200495000.0000000        7165710000.0000000                            NaN                       NaN
         208   7235280000.0000000        7200495000.0000000                            NaN                       NaN
         209   7270065000.0000000        7235280000.0000000                            NaN                       NaN
         210   7304850000.0000000        7270065000.0000000                            NaN                       NaN
         211   7339635000.0000000        7304850000.0000000                            NaN                       NaN
         212   7374420000.0000000        7339635000.0000000                            NaN                       NaN
         213   7409205000.0000000        7374420000.0000000                            NaN                       NaN
         214   7443990000.0000000        7409205000.0000000                            NaN                       NaN
         215   7478775000.0000000        7443990000.0000000                            NaN                       NaN
         216   7513560000.0000000        7478775000.0000000                            NaN                       NaN
         217   7548345000.0000000        7513560000.0000000                            NaN                       NaN
         218   7583130000.0000000        7548345000.0000000                            NaN                       NaN
         219   7617915000.0000000        7583130000.0000000                            NaN                       NaN
         220   7652700000.0000000        7617915000.0000000                            NaN                       NaN
         221   7687485000.0000000        7652700000.0000000                            NaN                       NaN
         222   7722270000.0000000        7687485000.0000000                            NaN                       NaN
         223   7757055000.0000000        7722270000.0000000                            NaN                       NaN
         224   7791840000.0000000        7757055000.0000000                            NaN                       NaN
         225   7826625000.0000000        7791840000.0000000                            NaN                       NaN
         226   7861410000.0000000        7826625000.0000000                            NaN                       NaN
         227   7896195000.0000000        7861410000.0000000                            NaN                       NaN
         228   7930980000.0000000        7896195000.0000000       -0.0000000000000000                            NaN
         229   7965765000.0000000        7930980000.0000000       -0.0000000000000000                            NaN
         230   8000550000.0000000        7965765000.0000000       -0.0000000000000000                            NaN
         231   8035335000.0000000        8000550000.0000000       -0.0000000000000000                            NaN
         232   8070120000.0000000        8035335000.0000000       -0.0000000000000000                            NaN
         233   8104905000.0000000        8070120000.0000000       -0.0000000000000000                            NaN
         234   8139690000.0000000        8104905000.0000000       -0.0000000000000000                            NaN
         235   8174475000.0000000        8139690000.0000000       -0.0000000000000000                            NaN
         236   8209260000.0000000        8174475000.0000000       -0.0000000000000000                            NaN
         237   8244045000.0000000        8209260000.0000000       -0.0000000000000000                            NaN
         238   8278830000.0000000        8244045000.0000000       -0.0000000000000000                            NaN
         239   8313615000.0000000        8278830000.0000000       -0.0000000000000000                            NaN
