Total,,H,,He3,,He4,,C12,,N14,,O16,,Ne20,,Na23,,Mg24,,Al27,,Si28,,S32,,Ar40,,Ca40,,Fe56,,Ni58,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
310.3950070270888,93785532.19517544,305.22466053880424,2943905.558472863,305.2393882133247,183682.44966718828,,,,,290.0085807940928,96381024.16074042,,,,,313.9448091508253,798338.5678869116,,,939.1283367965273,290388.7514379683,,,,,,,,,,,,
326.25625380408394,87609448.86626822,320.82539137066794,2668078.801542476,319.7115832827544,168215.49425135172,,,,,304.8279424155385,90138752.5204303,,,,,328.826152806801,752466.8220215626,,,976.004708236354,272234.8328811534,,,,,,,,,,,,
342.9276975762414,82038643.0149032,337.3763373329615,2416476.806368411,336.0523133262829,153005.35135049216,,,,,320.4051340641253,83910888.45862103,,,,,346.0465947079556,704292.1412160458,,,,,,,,,,,,,,,,
360.45273772457955,75875656.37933047,354.94167778182515,2190856.8126116577,353.22816277753276,139242.21951059156,,,,,336.7782130558323,78193828.98673764,,,,,366.0437366903446,653911.2182350334,,,,,,,,,,,,,,,,
378.87224335581925,70732075.51239017,372.57673506114105,1990296.400178389,371.28188091967775,126717.10840898898,,,,,353.9879910320858,72857947.32283267,,,,,385.9125368805261,608243.6706923543,,,,,,,,,,,,,,,,
398.2344860692688,65295039.635782085,392.15277496973675,1798807.1205029264,389.3750802531,115824.63894244436,,,,,373.76720000562847,67275098.26778631,,,,,404.8167863681816,569696.861564063,,,,,,,,,,,,,,,,
418.5848886361447,60788149.378761016,411.6363362992515,1637338.190416419,409.2767873592775,105069.91474135559,,,,,392.8677586369067,62433684.21055169,,,,,422.9142798357454,534769.9081742209,,,,,,,,,,,,,,,,
439.9762006352277,56264326.84664096,432.67584195287577,1485458.6086453118,432.14967963560366,94453.66647460026,,,,,413.13131712439105,57988449.08620551,,,,,447.55701731136344,493640.4922135375,,,,,,,,,,,,,,,,
462.4604732267083,52141921.86533162,454.5850504161638,1345863.8197520205,457.3352206562076,84879.47357007572,,,,,434.2442583876058,53566452.52469353,,,,,470.90778481229245,458653.06403484783,,,,,,,,,,,,,,,,
486.0941526844365,48221120.309847504,478.0365970893246,1218131.8458792788,485.08682316265936,75786.24344893715,,,,,455.19683683914656,49734623.14441245,,,,,497.7994427964651,423060.9710554758,,,,,,,,,,,,,,,,
